year,month,day,hour,minute,second,dayofweek,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label
0.0,1.0,0.93333334,0.0,0.55932206,0.6440678,0.0,0.30270246,0.7756466,0.1709699,0.25699246,1
0.0,1.0,0.93333334,0.0,0.55932206,0.6440678,0.0,0.19118612,0.16353093,0.79138434,0.50037384,1
0.0,1.0,0.93333334,0.0,0.55932206,0.66101694,0.0,0.30270246,0.7756466,0.1709699,0.25699246,1
0.0,1.0,0.93333334,0.0,0.55932206,0.6779661,0.0,0.19118612,0.16353093,0.79138434,0.50037384,1
0.0,1.0,0.93333334,0.0,0.55932206,0.69491524,0.0,0.30270246,0.7756466,0.1709699,0.25699246,1
0.0,1.0,0.93333334,0.0,0.55932206,0.7118644,0.0,0.51168114,0.1361715,0.64248,0.25825894,1
0.0,1.0,0.93333334,0.0,0.55932206,0.7288136,0.0,0.30270246,0.7756466,0.1709699,0.25699246,1
0.0,1.0,0.93333334,0.0,0.55932206,0.7457627,0.0,0.51168114,0.1361715,0.64248,0.25825894,1
0.0,1.0,0.93333334,0.0,0.55932206,0.7457627,0.0,0.97538644,0.5194171,0.29510772,0.05833524,1
0.0,1.0,0.93333334,0.0,0.55932206,0.779661,0.0,0.97538644,0.5194171,0.29510772,0.05833524,1
0.0,1.0,0.93333334,0.0,0.55932206,0.779661,0.0,0.51168114,0.1361715,0.64248,0.25825894,1
0.0,1.0,0.93333334,0.0,0.55932206,0.8135593,0.0,0.51168114,0.1361715,0.64248,0.25825894,1
0.0,1.0,0.93333334,0.0,0.55932206,0.8135593,0.0,0.97538644,0.5194171,0.29510772,0.05833524,1
0.0,1.0,0.93333334,0.0,0.55932206,0.8305085,0.0,0.97538644,0.5194171,0.29510772,0.05833524,1
0.0,1.0,0.93333334,0.0,0.55932206,0.84745765,0.0,0.5435124,0.09289692,0.68299454,0.34419775,1
0.0,1.0,0.93333334,0.0,0.55932206,0.86440676,0.0,0.7622877,0.8546731,0.09770799,0.53827727,1
0.0,1.0,0.93333334,0.0,0.55932206,0.88135594,0.0,0.5435124,0.09289692,0.68299454,0.34419775,1
0.0,1.0,0.93333334,0.0,0.55932206,0.89830506,0.0,0.7622877,0.8546731,0.09770799,0.53827727,1
0.0,1.0,0.93333334,0.0,0.55932206,0.91525424,0.0,0.7622877,0.8546731,0.09770799,0.53827727,1
0.0,1.0,0.93333334,0.0,0.55932206,0.91525424,0.0,0.5435124,0.09289692,0.68299454,0.34419775,1
0.0,1.0,0.93333334,0.0,0.55932206,1.0,0.0,0.28181222,0.32555124,0.98225296,0.706981,1
0.0,1.0,0.93333334,0.0,0.5762712,0.0,0.0,0.20246288,0.85650414,0.24591039,0.92370486,1
